TIME s, IN1D, IN2D,TIME sT, IN1T,IN2T
1.973,-0.33405,-0.279036,1.973,-0.33405,-0.26095
1.968,-0.34547,-0.268701,1.968,-0.34547,-0.294538
1.963,-0.351181,-0.259659,1.963,-0.348325,-0.311332
1.958,-0.359746,-0.291954,1.958,-0.359746,-0.285495
1.953,-0.365456,-0.304873,1.953,-0.365456,-0.294538
1.948,-0.376877,-0.280328,1.948,-0.376877,-0.326834
1.943,-0.379732,-0.297122,1.943,-0.382587,-0.311332
1.938,-0.388297,-0.320375,1.938,-0.391152,-0.303581
1.934,-0.396863,-0.306165,1.934,-0.396863,-0.337169
1.929,-0.405428,-0.297122,1.929,-0.405428,-0.347503
1.924,-0.411138,-0.333293,1.924,-0.411138,-0.317791
1.919,-0.419704,-0.335877,1.919,-0.422559,-0.335877
1.914,-0.431124,-0.31004,1.914,-0.428269,-0.361713
1.909,-0.436834,-0.33846,1.909,-0.436834,-0.33846
1.904,-0.442545,-0.353962,1.904,-0.4454,-0.333293
1.899,-0.45111,-0.332001,1.899,-0.453965,-0.366881
1.895,-0.45682,-0.329418,1.895,-0.459675,-0.369464
1.89,-0.468241,-0.361713,1.89,-0.468241,-0.341044
1.885,-0.476806,-0.353962,1.885,-0.476806,-0.370756
1.88,-0.482516,-0.33846,1.88,-0.485372,-0.386258
1.875,-0.491082,-0.370756,1.875,-0.491082,-0.356546
1.87,-0.499647,-0.381091,1.87,-0.499647,-0.35913
1.865,-0.505357,-0.355254,1.865,-0.505357,-0.391426
1.86,-0.516778,-0.372048,1.86,-0.513923,-0.377215
1.855,-0.522488,-0.392717,1.855,-0.522488,-0.366881
1.851,-0.528198,-0.377215,1.851,-0.531054,-0.396593
1.846,-0.536764,-0.363005,1.846,-0.539619,-0.408219
1.841,-0.548184,-0.397885,1.841,-0.548184,-0.377215
1.836,-0.553895,-0.403052,1.836,-0.55675,-0.388842
1.831,-0.56246,-0.37334,1.831,-0.56246,-0.41597
1.826,-0.571025,-0.400468,1.826,-0.571025,-0.397885
1.821,-0.576736,-0.413387,1.821,-0.576736,-0.388842
1.816,-0.585301,-0.395301,1.816,-0.585301,-0.419846
1.812,-0.591011,-0.388842,1.812,-0.591011,-0.423721
1.807,-0.602432,-0.41597,1.807,-0.599577,-0.396593
1.802,-0.608142,-0.413387,1.802,-0.608142,-0.421138
1.797,-0.616707,-0.391426,1.797,-0.616707,-0.437932
