UV, 789000000000000,    1.053,0.654,    0.17,   0.03,  0.1614434948,   789000000000000
Violet, 668000000000000,    2.194,  1.667,  0.1962, 0.149,  0.08942570647,  668000000000000
Naranja,    484000000000000,    0.8314, 2.107,-0.1428,0.5847,   -0.1717584797, 484000000000000
Rojo,   400000000000000,    0.1659,     10.8092,    -0.0392,    3.75493,    -0.2360458107,  400000000000000

